time,line color,cell load
1186,Coverage Cell,10.842105263157896
1184,Coverage Cell,10.842105263157896
1182,Coverage Cell,10.87719298245614
1182,Coverage Cell,11.017543859649122
1180,Coverage Cell,11.052631578947366
1180,Coverage Cell,11.228070175438596
1177,Coverage Cell,11.263157894736842
1177,Coverage Cell,11.543859649122808
1175,Coverage Cell,11.578947368421053
1175,Coverage Cell,11.719298245614036
1173,Coverage Cell,11.75438596491228
1173,Coverage Cell,12.0
1171,Coverage Cell,12.035087719298245
1171,Coverage Cell,12.350877192982455
1169,Coverage Cell,12.3859649122807
1169,Coverage Cell,12.631578947368421
1166,Coverage Cell,12.666666666666666
1166,Coverage Cell,12.842105263157894
1164,Coverage Cell,12.87719298245614
1164,Coverage Cell,13.192982456140353
1162,Coverage Cell,13.228070175438598
1162,Coverage Cell,13.298245614035089
1160,Coverage Cell,13.333333333333336
1160,Coverage Cell,13.43859649122807
1158,Coverage Cell,13.473684210526315
1158,Coverage Cell,13.614035087719298
1155,Coverage Cell,13.649122807017545
1155,Coverage Cell,13.719298245614036
1151,Coverage Cell,13.789473684210524
1151,Coverage Cell,13.82456140350877
1149,Coverage Cell,13.859649122807017
1144,Coverage Cell,13.859649122807017
1140,Coverage Cell,13.789473684210524
1138,Coverage Cell,13.789473684210524
1136,Coverage Cell,13.754385964912279
1136,Coverage Cell,13.649122807017545
1133,Coverage Cell,13.614035087719298
1133,Coverage Cell,13.543859649122806
1131,Coverage Cell,13.508771929824562
1131,Coverage Cell,13.43859649122807
1129,Coverage Cell,13.403508771929824
1129,Coverage Cell,13.333333333333336
1127,Coverage Cell,13.298245614035089
1127,Coverage Cell,13.228070175438598
1124,Coverage Cell,13.192982456140353
1124,Coverage Cell,13.087719298245615
1122,Coverage Cell,13.05263157894737
1122,Coverage Cell,12.947368421052632
1120,Coverage Cell,12.912280701754387
1120,Coverage Cell,12.842105263157894
1118,Coverage Cell,12.807017543859649
1118,Coverage Cell,12.701754385964911
1116,Coverage Cell,12.666666666666666
1116,Coverage Cell,12.596491228070175
1113,Coverage Cell,12.561403508771928
1113,Coverage Cell,12.526315789473683
1111,Coverage Cell,12.491228070175438
1111,Coverage Cell,12.421052631578945
1109,Coverage Cell,12.3859649122807
1109,Coverage Cell,12.280701754385966
1107,Coverage Cell,12.24561403508772
1107,Coverage Cell,12.140350877192983
1105,Coverage Cell,12.105263157894736
1105,Coverage Cell,12.0
1102,Coverage Cell,11.964912280701753
1102,Coverage Cell,11.92982456140351
1100,Coverage Cell,11.894736842105264
1100,Coverage Cell,11.719298245614036
1098,Coverage Cell,11.684210526315791
1098,Coverage Cell,11.578947368421053
1096,Coverage Cell,11.543859649122808
1096,Coverage Cell,11.403508771929825
1094,Coverage Cell,11.368421052631579
1094,Coverage Cell,11.228070175438596
1091,Coverage Cell,11.19298245614035
1091,Coverage Cell,11.052631578947366
1089,Coverage Cell,11.017543859649122
1089,Coverage Cell,10.842105263157896
1087,Coverage Cell,10.807017543859649
1087,Coverage Cell,10.701754385964913
1085,Coverage Cell,10.666666666666666
1085,Coverage Cell,10.526315789473685
1083,Coverage Cell,10.49122807017544
1083,Coverage Cell,10.350877192982457
1080,Coverage Cell,10.315789473684212
1080,Coverage Cell,10.210526315789474
1078,Coverage Cell,10.17543859649123
1078,Coverage Cell,10.070175438596491
1076,Coverage Cell,10.035087719298247
1076,Coverage Cell,9.929824561403509
1072,Coverage Cell,9.859649122807017
1069,Coverage Cell,9.859649122807017
1065,Coverage Cell,9.929824561403509
1065,Coverage Cell,9.964912280701753
1063,Coverage Cell,10.0
1063,Coverage Cell,10.035087719298247
1060,Coverage Cell,10.070175438596491
1060,Coverage Cell,10.105263157894736
1058,Coverage Cell,10.140350877192983
1058,Coverage Cell,10.17543859649123
1056,Coverage Cell,10.210526315789474
1056,Coverage Cell,10.280701754385966
1054,Coverage Cell,10.315789473684212
1054,Coverage Cell,10.350877192982457
1052,Coverage Cell,10.385964912280702
1052,Coverage Cell,10.421052631578949
1043,Coverage Cell,10.56140350877193
1038,Coverage Cell,10.56140350877193
1030,Coverage Cell,10.421052631578949
1030,Coverage Cell,10.385964912280702
1027,Coverage Cell,10.350877192982457
1027,Coverage Cell,10.315789473684212
1023,Coverage Cell,10.24561403508772
1023,Coverage Cell,10.17543859649123
